-----------------------
Before shapely
----------------------

Reading json input file: /home/christoph/git/pytzwhere/tzwhere/tz_world_compact.json
         269473500 function calls (269471362 primitive calls) in 272.543 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      108    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:666(_code_to_bytecode)
      667    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:68(_path_stat)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(__init__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:732(__enter__)
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:739(__exit__)
      436    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
      202    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
      218    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:824(cached)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
      186    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      122    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:99(_write_atomic)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:76(_Feature)
        8    0.000    0.000    0.000    0.000 __future__.py:77(__init__)
        5    0.000    0.000    0.115    0.023 __init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1043(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.121    0.121 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1067(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(__init__)
