-----------------------
Before shapely
----------------------

Reading json input file: /home/christoph/git/pytzwhere/tzwhere/tz_world_compact.json
         269473500 function calls (269471362 primitive calls) in 272.543 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.866    0.866    0.866    0.866 decoder.py:349(raw_decode)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:14(_NumCharTable)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1652(HtmlDiff)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:751(Differ)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:67(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoder.py:98(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1419(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1431(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1485(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1501(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:224(_fromnxfunction)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1405(vectorize)
      273    0.001    0.000    0.009    0.000 function_base.py:2945(add_newdoc)
        1    0.000    0.000    0.000    0.000 functools.py:370(lru_cache)
        1    0.000    0.000    0.000    0.000 functools.py:406(decorating_function)
        7    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
        6    0.000    0.000    0.000    0.000 functools.py:73(wraps)
        1    0.000    0.000    0.000    0.000 getlimits.py:194(iinfo)
        1    0.000    0.000    0.000    0.000 getlimits.py:24(finfo)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.004    0.004 hermite.py:59(<module>)
        1    0.000    0.000    0.004    0.004 hermite_e.py:59(<module>)
        1    0.000    0.000    0.005    0.005 index_tricks.py:1(<module>)
        2    0.000    0.000    0.000    0.000 index_tricks.py:145(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:213(AxisConcatenator)
        3    0.000    0.000    0.000    0.000 index_tricks.py:231(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:340(RClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:434(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:439(CClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:456(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:461(ndenumerate)
        1    0.000    0.000    0.000    0.000 index_tricks.py:510(ndindex)
        1    0.000    0.000    0.000    0.000 index_tricks.py:584(IndexExpression)
        2    0.000    0.000    0.000    0.000 index_tricks.py:627(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:85(nd_grid)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 info.py:176(<module>)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        1    0.000    0.000    0.004    0.004 laguerre.py:59(<module>)
        1    0.000    0.000    0.004    0.004 legendre.py:83(<module>)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:43(LinAlgError)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.004    0.004 linecache.py:6(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:51(TestLoader)
        1    0.000    0.000    0.000    0.000 machar.py:17(MachAr)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:48(TestProgram)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:23(memmap)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:88(NoseTester)
        1    0.000    0.000    0.007    0.007 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:133(NpzFile)
        1    0.000    0.000    0.000    0.000 npyio.py:90(BagObj)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:1617(set_string_function)
        2    0.000    0.000    0.000    0.000 numeric.py:2320(seterr)
        2    0.000    0.000    0.000    0.000 numeric.py:2416(geterr)
        1    0.000    0.000    0.000    0.000 numeric.py:2635(_unspecified)
        1    0.000    0.000    0.000    0.000 numeric.py:2639(errstate)
        1    0.000    0.000    0.000    0.000 numeric.py:2701(__init__)
        1    0.000    0.000    0.000    0.000 numeric.py:2705(__enter__)
        1    0.000    0.000    0.000    0.000 numeric.py:2710(__exit__)
        1    0.000    0.000    0.000    0.000 numeric.py:2716(_setdef)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
        1    0.000    0.000    0.000    0.000 numeric.py:353(<listcomp>)
        1    0.000    0.000    0.000    0.000 numeric.py:49(ComplexWarning)
        1    0.000    0.000    0.000    0.000 numerictypes.py:116(<listcomp>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
       23    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:386(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
        1    0.000    0.000    0.000    0.000 numerictypes.py:772(_typedict)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:628(__getitem__)
        1    0.000    0.000    0.000    0.000 os.py:704(encode)
        1    0.000    0.000    0.001    0.001 pickle.py:180(<listcomp>)
        1    0.000    0.000    0.000    0.000 pickle.py:183(_Framer)
        1    0.000    0.000    0.000    0.000 pickle.py:219(_Unframer)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:348(_Pickler)
        1    0.000    0.000    0.000    0.000 pickle.py:63(PickleError)
        1    0.000    0.000    0.000    0.000 pickle.py:67(PicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:74(UnpicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:87(_Stop)
        1    0.000    0.000    0.000    0.000 pickle.py:974(_Unpickler)
        1    0.000    0.000    0.000    0.000 polynomial.py:21(RankWarning)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
        1    0.000    0.000    0.005    0.005 polynomial.py:55(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:930(poly1d)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:48(RankWarning)
        1    0.000    0.000    0.000    0.000 polyutils.py:52(PolyError)
        1    0.000    0.000    0.000    0.000 polyutils.py:56(PolyDomainError)
        1    0.000    0.000    0.000    0.000 polyutils.py:69(PolyBase)
       22    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
       25    0.000    0.000    0.000    0.000 posixpath.py:38(_get_sep)
        1    0.000    0.000    0.000    0.000 posixpath.py:49(normcase)
        3    0.000    0.000    0.000    0.000 posixpath.py:70(join)
        1    0.000    0.000    0.000    0.000 pprint.py:101(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:71(_safe_key)
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
      101    0.000    0.000    0.001    0.000 re.py:153(match)
       22    0.000    0.000    0.008    0.000 re.py:217(compile)
        1    0.000    0.000    0.000    0.000 re.py:235(escape)
      123    0.000    0.000    0.009    0.000 re.py:273(_compile)
        1    0.000    0.000    0.000    0.000 records.py:216(record)
        1    0.000    0.000    0.000    0.000 records.py:286(recarray)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 records.py:85(format_parser)
        1    0.000    0.000    0.007    0.007 result.py:1(<module>)
        4    0.000    0.000    0.000    0.000 result.py:12(failfast)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:120(TextTestRunner)
        1    0.000    0.000    0.000    0.000 runner.py:13(_WritelnDecorator)
        1    0.000    0.000    0.000    0.000 runner.py:29(TextTestResult)
        1    0.000    0.000    0.002    0.002 scanner.py:2(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:42(Error)
        1    0.000    0.000    0.000    0.000 shutil.py:45(SameFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:48(SpecialFileError)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:52(ExecError)
        1    0.000    0.000    0.000    0.000 shutil.py:55(ReadError)
        1    0.000    0.000    0.000    0.000 shutil.py:58(RegistryError)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:9(_InterruptHandler)
       42    0.000    0.000    0.001    0.000 sre_compile.py:172(_compile_charset)
       42    0.000    0.000    0.001    0.000 sre_compile.py:201(_optimize_charset)
      126    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
       14    0.000    0.000    0.000    0.000 sre_compile.py:302(_mk_bitmap)
       14    0.000    0.000    0.000    0.000 sre_compile.py:304(<listcomp>)
       38    0.000    0.000    0.000    0.000 sre_compile.py:315(_simple)
        1    0.000    0.000    0.000    0.000 sre_compile.py:320(_generate_overlap_table)
    89/21    0.001    0.000    0.002    0.000 sre_compile.py:33(_compile)
       21    0.000    0.000    0.001    0.000 sre_compile.py:341(_compile_info)
       42    0.000    0.000    0.000    0.000 sre_compile.py:442(isstring)
       21    0.000    0.000    0.003    0.000 sre_compile.py:445(_code)
       21    0.000    0.000    0.008    0.000 sre_compile.py:460(compile)
       37    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
      135    0.000    0.000    0.000    0.000 sre_parse.py:138(__len__)
      319    0.000    0.000    0.000    0.000 sre_parse.py:142(__getitem__)
       38    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
      177    0.000    0.000    0.000    0.000 sre_parse.py:150(append)
   127/59    0.000    0.000    0.001    0.000 sre_parse.py:152(getwidth)
       21    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
      785    0.001    0.000    0.002    0.000 sre_parse.py:195(__next)
      292    0.000    0.000    0.000    0.000 sre_parse.py:214(match)
      671    0.000    0.000    0.002    0.000 sre_parse.py:220(get)
        4    0.000    0.000    0.000    0.000 sre_parse.py:224(getwhile)
        1    0.000    0.000    0.000    0.000 sre_parse.py:233(tell)
        1    0.000    0.000    0.000    0.000 sre_parse.py:235(seek)
       24    0.000    0.000    0.000    0.000 sre_parse.py:265(_class_escape)
       17    0.000    0.000    0.000    0.000 sre_parse.py:307(_escape)
    41/21    0.000    0.000    0.005    0.000 sre_parse.py:363(_parse_sub)
    47/21    0.001    0.000    0.004    0.000 sre_parse.py:441(_parse)
       21    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       21    0.000    0.000    0.000    0.000 sre_parse.py:738(fix_flags)
       21    0.000    0.000    0.005    0.000 sre_parse.py:750(parse)
       16    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       89    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:14(DummyArray)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
      666    0.001    0.000    0.001    0.000 string.py:107(convert)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.000    0.000 string.py:162(Formatter)
        1    0.000    0.000    0.000    0.000 string.py:51(_TemplateMetaclass)
        1    0.000    0.000    0.001    0.001 string.py:61(__init__)
        1    0.000    0.000    0.000    0.000 string.py:73(Template)
        1    0.000    0.000    0.000    0.000 string.py:80(__init__)
        6    0.000    0.000    0.005    0.001 string.py:97(substitute)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 suite.py:273(_ErrorHolder)
        1    0.000    0.000    0.000    0.000 suite.py:320(_DebugResult)
        1    0.000    0.000    0.000    0.000 suite.py:95(TestSuite)
        1    0.000    0.000    0.000    0.000 tarfile.py:1375(TarFile)
        1    0.000    0.000    0.000    0.000 tarfile.py:2372(TarIter)
        1    0.000    0.000    0.000    0.000 tarfile.py:265(TarError)
        1    0.000    0.000    0.000    0.000 tarfile.py:268(ExtractError)
        1    0.000    0.000    0.000    0.000 tarfile.py:271(ReadError)
        1    0.000    0.000    0.000    0.000 tarfile.py:274(CompressionError)
        1    0.000    0.000    0.000    0.000 tarfile.py:277(StreamError)
        1    0.000    0.000    0.000    0.000 tarfile.py:280(HeaderError)
        1    0.000    0.000    0.000    0.000 tarfile.py:283(EmptyHeaderError)
        1    0.000    0.000    0.000    0.000 tarfile.py:286(TruncatedHeaderError)
        1    0.000    0.000    0.000    0.000 tarfile.py:289(EOFHeaderError)
        1    0.000    0.000    0.000    0.000 tarfile.py:292(InvalidHeaderError)
        1    0.000    0.000    0.000    0.000 tarfile.py:295(SubsequentHeaderError)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 tarfile.py:302(_LowLevelFile)
        1    0.000    0.000    0.000    0.000 tarfile.py:326(_Stream)
        1    0.000    0.000    0.000    0.000 tarfile.py:576(_StreamProxy)
        1    0.000    0.000    0.000    0.000 tarfile.py:606(_FileInFile)
        1    0.000    0.000    0.000    0.000 tarfile.py:707(ExFileObject)
        1    0.000    0.000    0.000    0.000 tarfile.py:718(TarInfo)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1162(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1192(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1194(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1211(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:198(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:210(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:249(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:329(notify)
        1    0.000    0.000    0.000    0.000 threading.py:352(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:364(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:444(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:482(Event)
        1    0.000    0.000    0.000    0.000 threading.py:493(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:507(set)
        1    0.000    0.000    0.000    0.000 threading.py:570(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:724(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 threading.py:742(Thread)
        2    0.000    0.000    0.000    0.000 threading.py:75(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:88(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:894(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:897(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:71(<dictcomp>)
       19    0.000    0.000    0.000    0.000 tokenize.py:110(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:111(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:112(maybe)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:219(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:221(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:224(Untokenizer)
        1    0.000    0.000    0.000    0.000 tokenize.py:97(TokenInfo)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.046    0.046 type_check.py:3(<module>)
        1    0.000    0.000    0.139    0.139 tzwhere.py:10(<module>)
    10000  204.617    0.020  265.460    0.027 tzwhere.py:122(_point_inside_polygon)
    10000    0.295    0.000  265.806    0.027 tzwhere.py:140(tzNameAt)
        1    0.000    0.000    0.903    0.903 tzwhere.py:160(read_tzworld)
        1    0.000    0.000    0.903    0.903 tzwhere.py:165(read_json)
    27757    0.034    0.000    0.034    0.000 tzwhere.py:208(_feature_collection_polygons)
    27756    1.251    0.000    1.859    0.000 tzwhere.py:226(_raw_poly_to_poly)
        1    0.000    0.000    0.000    0.000 tzwhere.py:31(tzwhere)
        1    0.000    0.000    6.499    6.499 tzwhere.py:43(__init__)
        1    0.115    0.115    2.697    2.697 tzwhere.py:59(_construct_polygon_map)
        1    0.603    0.603    2.898    2.898 tzwhere.py:74(_construct_shortcuts)
    27756    0.957    0.000    0.957    0.000 tzwhere.py:80(<listcomp>)
    27756    0.798    0.000    0.798    0.000 tzwhere.py:81(<listcomp>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:103(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        1    0.000    0.000    0.000    0.000 utils.py:1368(WarningMessage)
        1    0.000    0.000    0.000    0.000 utils.py:1400(WarningManager)
        2    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
        1    0.000    0.000    0.000    0.000 utils.py:1588(IgnoreException)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:87(_set_function_name)
        1    0.000    0.000    0.000    0.000 utils.py:92(_Deprecate)
        1    0.000    0.000    0.000    0.000 utils.py:961(SafeEval)
        1    0.000    0.000    0.000    0.000 version.py:3(<module>)
        3    0.000    0.000    0.001    0.000 warnings.py:29(filterwarnings)
        1    0.000    0.000    0.000    0.000 warnings.py:311(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:332(__enter__)
        1    0.000    0.000    0.000    0.000 warnings.py:349(__exit__)
        1    0.000    0.000    0.000    0.000 warnings.py:58(simplefilter)
        1    0.000    0.000    0.000    0.000 weakref.py:101(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:255(update)
        1    0.000    0.000    0.000    0.000 weakref.py:312(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
  269/267    0.007    0.000    0.010    0.000 {built-in method __build_class__}
     38/1    0.000    0.000    0.145    0.145 {built-in method __import__}
       20    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x9ceec0}
        6    0.000    0.000    0.000    0.000 {built-in method _filters_mutated}
      108    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
       24    0.000    0.000    0.000    0.000 {built-in method _getframe}
        1    0.000    0.000    0.000    0.000 {built-in method _set_sentinel}
       81    0.000    0.000    0.000    0.000 {built-in method abs}
      400    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
      268    0.000    0.000    0.000    0.000 {built-in method add_docstring}
      266    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
      142    0.000    0.000    0.000    0.000 {built-in method any}
    28193    0.686    0.000    0.686    0.000 {built-in method array}
       18    0.000    0.000    0.000    0.000 {built-in method calcsize}
        2    0.000    0.000    0.000    0.000 {built-in method callable}
      445    0.000    0.000    0.000    0.000 {built-in method chr}
       21    0.000    0.000    0.000    0.000 {built-in method compile}
        1    0.000    0.000    0.000    0.000 {built-in method dir}
       45    0.000    0.000    0.000    0.000 {built-in method divmod}
        1    0.000    0.000    0.000    0.000 {built-in method dlopen}
        1    0.000    0.000    0.000    0.000 {built-in method dumps}
       21    0.000    0.000    0.000    0.000 {built-in method empty}
    394/1    0.027    0.000  272.549  272.549 {built-in method exec}
   131024    0.079    0.000    0.079    0.000 {built-in method floor}
      217    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      659    0.000    0.000    0.000    0.000 {built-in method get_ident}
     1077    0.001    0.000    0.001    0.000 {built-in method getattr}
       57    0.000    0.000    0.000    0.000 {built-in method getcwd}
        6    0.000    0.000    0.000    0.000 {built-in method geterrobj}
        1    0.000    0.000    0.000    0.000 {built-in method getfilesystemencoding}
      117    0.000    0.000    0.000    0.000 {built-in method getlower}
        2    0.000    0.000    0.000    0.000 {built-in method getpid}
       70    0.000    0.000    0.000    0.000 {built-in method globals}
     2174    0.001    0.000    0.001    0.000 {built-in method hasattr}
        1    0.000    0.000    0.000    0.000 {built-in method id}
        7    0.001    0.000    0.001    0.000 {built-in method init_builtin}
       36    0.000    0.000    0.000    0.000 {built-in method is_builtin}
      123    0.000    0.000    0.000    0.000 {built-in method is_frozen}
     1921    0.001    0.000    0.001    0.000 {built-in method isinstance}
       29    0.000    0.000    0.000    0.000 {built-in method issubclass}
40553/40506    0.008    0.000    0.008    0.000 {built-in method len}
       15    0.000    0.000    0.000    0.000 {built-in method listdir}
       13    0.008    0.001    0.009    0.001 {built-in method load_dynamic}
      108    0.016    0.000    0.016    0.000 {built-in method loads}
105495522   24.621    0.000   24.621    0.000 {built-in method max}
157145700   36.689    0.000   36.689    0.000 {built-in method min}
        1    0.000    0.000    0.000    0.000 {built-in method nl_langinfo}
        1    0.000    0.000    0.000    0.000 {built-in method open}
      185    0.000    0.000    0.000    0.000 {built-in method ord}
        1    0.000    0.000    0.000    0.000 {built-in method print}
        3    0.000    0.000    0.000    0.000 {built-in method register_dialect}
        1    0.000    0.000    0.000    0.000 {built-in method register}
      705    0.000    0.000    0.000    0.000 {built-in method release_lock}
        1    0.000    0.000    0.000    0.000 {built-in method replace}
       48    0.000    0.000    0.000    0.000 {built-in method repr}
        9    0.000    0.000    0.000    0.000 {built-in method round}
        2    0.000    0.000    0.000    0.000 {built-in method set_string_function}
        1    0.000    0.000    0.000    0.000 {built-in method set_typeDict}
      129    0.000    0.000    0.000    0.000 {built-in method setattr}
        3    0.000    0.000    0.000    0.000 {built-in method seterrobj}
       50    0.000    0.000    0.000    0.000 {built-in method sizeof}
      667    0.003    0.000    0.003    0.000 {built-in method stat}
        1    0.000    0.000    0.000    0.000 {built-in method time}
        1    0.014    0.014    0.014    0.014 {built-in method utf_8_decode}
       21    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       17    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
  2200398    0.195    0.000    0.195    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       15    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
      112    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
       77    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      156    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1984    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      109    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      906    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        4    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
    20000    0.018    0.000    0.018    0.000 {method 'intersection' of 'set' objects}
       29    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2483    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    20553    0.007    0.000    0.007    0.000 {method 'keys' of 'dict' objects}
      103    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      230    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
  4213018    0.431    0.000    0.431    0.000 {method 'pop' of 'list' objects}
      110    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.023    0.023    0.037    0.037 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       22    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      920    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     4620    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        4    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
